donor,CD9_lspc_coverage,CD9_hspc_coverage,CD9_therapeutic_window,coexpr_lspc_coverage,coexpr_hspc_coverage,coexpr_therapeutic_window,n_lspc,n_hspc
Henrik_Lilljebjorn_AML136,30.208333333333332,7.6923076923076925,22.51602564102564,28.125,5.128205128205128,22.996794871794872,96,78
Henrik_Lilljebjorn_AML155,48.38709677419355,18.51851851851852,29.868578255675033,22.58064516129032,14.814814814814813,7.765830346475507,31,27
Henrik_Lilljebjorn_AML157,27.27272727272727,12.76595744680851,14.50676982591876,22.727272727272727,10.638297872340425,12.088974854932301,22,47
Henrik_Lilljebjorn_AML21,1.694915254237288,1.1235955056179776,0.5713197486193105,1.694915254237288,1.1235955056179776,0.5713197486193105,59,89
Henrik_Lilljebjorn_AML28,42.68292682926829,23.684210526315788,18.998716302952502,42.073170731707314,15.789473684210526,26.283697047496787,164,38
Henrik_Lilljebjorn_AML32,13.48314606741573,0.0,13.48314606741573,13.48314606741573,0.0,13.48314606741573,89,26
Henrik_Lilljebjorn_AML48,50.0,3.6363636363636362,46.36363636363637,46.42857142857143,0.0,46.42857142857143,28,55
Henrik_Lilljebjorn_AML80,72.1311475409836,14.285714285714285,57.84543325526932,71.31147540983606,9.523809523809524,61.78766588602654,122,21
Petti_Petti_809653,14.285714285714285,0.0,14.285714285714285,14.285714285714285,0.0,14.285714285714285,119,24
Ennis_Ennis_AML1216,30.701754385964914,6.053268765133172,24.648485620831742,28.947368421052634,2.9055690072639226,26.04179941378871,114,413
Ennis_Ennis_AML1886,81.19122257053291,11.475409836065573,69.71581273446733,78.99686520376176,8.19672131147541,70.80014389228634,638,61
Ennis_Ennis_AML3904,37.469586374695865,7.303370786516854,30.16621558817901,36.73965936739659,6.741573033707865,29.998086333688725,411,178
Ennis_Ennis_AML40389,44.44444444444444,5.769230769230769,38.675213675213676,44.44444444444444,1.9230769230769231,42.52136752136752,27,52
Ennis_Ennis_AML5750,8.571428571428571,0.0,8.571428571428571,8.571428571428571,0.0,8.571428571428571,35,36
Ennis_Ennis_AML6323,77.48344370860927,11.827956989247312,65.65548671936196,76.15894039735099,8.60215053763441,67.55678985971657,151,93
Naldini_PT08,37.735849056603776,19.27710843373494,18.458740622868834,37.735849056603776,16.867469879518072,20.868379177085703,53,83
Naldini_PT12,26.82926829268293,14.285714285714285,12.543554006968645,24.390243902439025,13.227513227513226,11.162730674925799,41,189
Naldini_PT15,23.076923076923077,7.6923076923076925,15.384615384615383,19.65811965811966,1.9230769230769231,17.735042735042736,117,52
Naldini_PT01,26.337448559670783,45.925925925925924,-19.58847736625514,23.456790123456788,36.2962962962963,-12.83950617283951,486,135
Naldini_PT06,20.833333333333336,20.88791848617176,-0.05458515283842402,20.833333333333336,8.005822416302767,12.827510917030569,24,1374
Naldini_PT02,34.146341463414636,6.666666666666667,27.479674796747968,26.82926829268293,6.666666666666667,20.16260162601626,41,30
vanGalen_AML328,2.780638516992791,2.083333333333333,0.6973051836594579,1.3388259526261586,2.083333333333333,-0.7445073807071745,971,48
vanGalen_AML707B,0.9174311926605505,5.0,-4.08256880733945,0.9174311926605505,5.0,-4.08256880733945,109,20
Guo_Guo_PT23A,60.0,10.273972602739725,49.726027397260275,60.0,10.273972602739725,49.726027397260275,40,146
Guo_Guo_PT27A,22.5,5.244507441530829,17.25549255846917,22.5,5.10276399716513,17.39723600283487,40,1411
Guo_Guo_PT28A,75.30864197530865,25.0,50.308641975308646,75.30864197530865,24.561403508771928,50.747238466536714,81,228
Guo_Guo_PT29A,72.27722772277228,35.22012578616352,37.05710193660876,72.27722772277228,34.59119496855346,37.68603275421882,101,159
Abbas_Abbas_PT4A,27.77777777777778,19.230769230769234,8.547008547008545,27.77777777777778,19.230769230769234,8.547008547008545,36,104
Abbas_Abbas_PT5A,73.49397590361446,25.688073394495415,47.805902509119036,73.49397590361446,25.688073394495415,47.805902509119036,83,109
Abbas_Abbas_PT7A,17.857142857142858,6.756756756756757,11.1003861003861,17.857142857142858,6.756756756756757,11.1003861003861,28,74
